SourceIP,DestinationIP,SourcePort,DestinationPort,TimeStamp,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeTimeVariance,ResponseTimeTimeStandardDeviation,ResponseTimeTimeMean,ResponseTimeTimeMedian,ResponseTimeTimeMode,ResponseTimeTimeSkewFromMedian,ResponseTimeTimeSkewFromMode,ResponseTimeTimeCoefficientofVariation,DoH
172.17.0.2,146.75.77.111,58478,443,2023-10-16 13:27:47,1.972399,140878,71424.69652438477204662951056,0,0E+6,91092129.37109375,9544.219683719239,4402.4375,424.5,66,1.2503706846099725,0.4543522303239939,2.167939847804594,0.4626626908248271484375,0.6801931275930587851160257882,0.74782271875,0.6081055,0.0,0.6162244798520915643126803693,1.099427042722787,0.9095646742720181434926829551,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
146.75.77.111,172.17.0.2,443,58478,2023-10-16 13:27:47,1.970240,13118,6658.072113042065941205132370,0,0E+6,605573.9688581316,778.1863329936677,385.8235294117647,66.0,66,1.2329573876531978,0.41098579588439926,2.0169488734399073,0.5044446397157794117647058824,0.7102426625568048849863894845,0.9403895,0.6114965,0.0,1.389213929290097893162234218,1.3240397255420968,0.7552643479715637881818007161,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
172.17.0.2,52.210.213.112,42692,443,2023-10-16 13:27:47,1.638808,10251,6255.156186691790618547139140,0,0E+6,826465.7414965986,909.1016123055764,488.14285714285717,309.0,309,0.591164468475198,0.19705482282506598,1.8623679502894452,0.2764579738695238095238095238,0.5257927099813421809551728186,0.548148,0.253047,0.0,1.683749095782280979030685283,1.0425173069049418,0.9592166896191214433969891683,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
52.210.213.112,172.17.0.2,443,42692,2023-10-16 13:27:47,1.638782,5987,3653.323016728277464604810158,0,0E+6,41818.41426611797,204.4955116038442,221.74074074074073,161.0,66,0.8910817689496746,0.7615851297628825,0.9222279628033728,0.3239471351405432098765432099,0.5691635398903756290015745801,0.5537017777777777777777777778,0.252657,0.0,1.586774749322984597966429283,0.9728342365085861,1.027924349772998674178834178,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
146.75.81.111,172.17.0.2,443,33478,2023-10-16 13:27:47,0.502962,5974,11877.63687912804545870264553,0,0E+6,1983.5236739053043,44.536767663418324,112.71698113207547,145.0,66,-2.1745865648737595,1.0489531140906738,0.3951203023369888,0.02332820302712637949448202209,0.1527357293730788437697318301,0.2473059245283018867924528302,0.249844,0.0,-0.04985229354223662747983871963,1.6191753268432814,0.6175983436886876738104517859,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
52.210.213.112,172.17.0.2,443,42734,2023-10-16 13:27:47,0.126884,128,1008.795435200655717032880426,0,0E+6,100.0,10.0,64.0,64.0,54,0.0,1.0,0.15625,0.004024887364,0.063442,0.063442,0.063442,0.0,0,1.0,1,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
146.75.81.111,172.17.0.2,443,33468,2023-10-16 13:27:47,1.143647,2582,2257.689654237714959248789181,0,0E+6,31429.048888888898,177.28239870017808,172.13333333333333,128.0,66,0.7468310501817854,0.5986681932977858,1.029913237994838,0.1612683786268266666666666667,0.4015823435197651548595487557,0.7367842,0.895936,0.0,-1.188935240068642387565698606,1.8347026752776965,0.5450474420050879957245944684,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
172.17.0.2,146.75.81.111,33478,443,2023-10-16 13:27:47,0.484749,218211,450152.5531770050067148152962,0,0E+6,83189529.68352172,9120.829440545509,5322.219512195122,855.0,66,1.4693464694131835,0.5762874469321018,1.713726654762436,0.02734102152872932778108268885,0.1653512066140713948103862361,0.2660849512195121951219512195,0.255766,0.0,0.1872187950269372620659476279,1.6092108226373738,0.6214226165600081312034525999,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
172.17.0.2,52.210.213.112,42724,443,2023-10-16 13:27:47,0.197991,5760,29092.23146506659393608800400,0,0E+6,2827100.8,1681.3984655637105,1152.0,74.0,66,1.923398924308974,0.6458909189237927,1.4595472791351654,0.00545463004424,0.07385546726031865002108916630,0.1469734,0.178946,0.0,-1.298723081148727429536581758,1.990013812815811,0.5025090748415607859727621889,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
52.210.213.112,172.17.0.2,443,42724,2023-10-16 13:27:47,0.197980,877,4429.740377815941004141832508,0,0E+6,38193.472222222226,195.43150263512337,146.16666666666666,60.0,54,1.32271407892016,0.47160598687482164,1.3370456280624177,0.005513919043555555555555555553,0.07425576774605158949447375155,0.1151276666666666666666666667,0.128945,0.0,-0.5582327307120749819258607288,1.5504205284146209,0.6449862999573075932614554121,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
172.17.0.2,52.210.213.112,42708,443,2023-10-16 13:27:47,0.203212,5760,28344.78278841800681062141999,0,0E+6,2827100.8,1681.3984655637105,1152.0,74.0,66,1.923398924308974,0.6458909189237927,1.4595472791351654,0.00565424539784,0.07519471655535380765040823033,0.1494236,0.180742,0.0,-1.249492042846332930845858670,1.98715557216049,0.5032318626733247468967969607,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
52.210.213.112,172.17.0.2,443,42708,2023-10-16 13:27:47,0.203213,877,4315.668781032709521536515873,0,0E+6,38193.472222222226,195.43150263512337,146.16666666666666,60.0,54,1.32271407892016,0.47160598687482164,1.3370456280624177,0.005812441424555555555555555555,0.07623936925601860955859975123,0.1164786666666666666666666667,0.129134,0.0,-0.4979841828505529987325305070,1.5278020765822562,0.6545350443802465363494295196,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
172.17.0.2,52.210.213.112,42714,443,2023-10-16 13:27:47,0.199017,5760,28942.25116447338669560891783,0,0E+6,2827100.8,1681.3984655637105,1152.0,74.0,66,1.923398924308974,0.6458909189237927,1.4595472791351654,0.00556753818744,0.07461593789157916897221692368,0.1485956,0.180750,0.0,-1.292796187058132767162855408,1.9914726558274605,0.5021409644133417744012401692,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
52.210.213.112,172.17.0.2,443,42714,2023-10-16 13:27:47,0.199017,877,4406.658727646381967369621691,0,0E+6,38193.472222222226,195.43150263512337,146.16666666666666,60.0,54,1.32271407892016,0.47160598687482164,1.3370456280624177,0.005689880750333333333333333333,0.07543129821455635886909239055,0.115827,0.1291525,0.0,-0.5299723184703923436075775700,1.5355297169954882,0.6512410596368407959205745685,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
172.17.0.2,146.75.81.111,33468,443,2023-10-16 13:27:47,1.077082,52583,48819.86701105394018282730563,0,0E+6,32886719.3117284,5734.694352075653,2921.277777777778,273.0,66,1.385397868756114,0.49789537200780715,1.9630773888397723,0.1764235845027932098765432099,0.4200280758506426435339474664,0.7162126111111111111111111111,0.912403,0.0,-1.401266249820776479344197461,1.7051541368053416,0.5864572465416707487318170183,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
172.17.0.2,52.210.213.112,42734,443,2023-10-16 13:27:47,0.000000,74,-1,0,-1,0.0,0.0,74.0,74.0,74,-10,-10,0.0,0E-12,0.000000,0.000000,0.000000,0.0,-10,-10,-1,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
146.75.77.111,172.17.0.2,443,58488,2023-10-16 13:27:47,1.653985,5789,3500.031741521235077706266985,0,0E+6,186767.5844875346,432.1661537968176,304.6842105263158,157.0,66,1.0251904914035632,0.5522973246038441,1.4184067925616746,0.2978968155097783933518005542,0.5457992446951336642640986720,0.4003021052631578947368421053,0.193829,0.0,1.134884890021168648031606148,0.7334237068919985,1.363468334337952601721578014,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
172.17.0.2,146.75.77.111,58488,443,2023-10-16 13:27:47,1.652184,13499,8170.397485994296034824208442,0,0E+6,1861934.5815972222,1364.5272373966093,562.4583333333334,100.0,66,1.016744086872888,0.36383175046071603,2.426005903957228,0.2542026011944722222222222221,0.5041850862475726009088357181,0.3250471666666666666666666667,0.144715,0.0,1.073011706923738122851299069,0.6446980990371005,1.551113616580483758230479530,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
172.64.144.166,172.17.0.2,443,57276,2023-10-16 13:27:47,0.361130,3908,10821.58779386924376263395453,0,0E+6,10091.010000000002,100.45401933222982,97.7,66.0,66,0.9467017908509707,0.3155672636169903,1.0281885295008169,0.018100707981144375,0.1345388716362091948699267008,0.198182425,0.119726,0.0,1.749451828587016020603692454,1.4730495550451908,0.6788637874231743549909973137,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
172.217.1.110,172.17.0.2,443,37608,2023-10-16 13:27:47,0.260989,3048,11678.65312331171045522991390,0,0E+6,30954.664819944595,175.93937825269418,160.42105263157896,78.0,66,1.4053883806478127,0.5366681044874789,1.0967349694229624,0.004922819774481994459833795013,0.07016280905495442362358814865,0.1033137894736842105263157895,0.098741,0.0,0.1955219382722809195884302489,1.4724865048200189,0.6791233717433827291858807374,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
172.17.0.2,172.64.144.166,57276,443,2023-10-16 13:27:47,0.340045,167852,493617.0212765957446808510638,0,0E+6,16785434.853434287,4097.003155165284,3903.5348837209303,2962.0,2962,0.6894318955067632,0.22981063183558773,1.0495623267646927,0.01598264000019794483504597080,0.1264224663586260874963208682,0.1698988139534883720930232558,0.084133,0.0,2.035219287136689661916478644,1.3438973217903514,0.7441044667518138035842944731,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
172.217.4.194,172.17.0.2,443,39272,2023-10-16 13:27:47,13.924493,2781,199.7200185313748945832354542,0,0E+6,17647.1475,132.84256659670498,139.05,99.0,66,0.9044540697919655,0.5498990411843785,0.95535826391014,40.13584474040834,6.335285687355254542041443553,4.2302386,0.1312685,0.0,1.941019064782459929663310248,0.6677265728431525,1.497618996563280033906702935,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
18.160.200.5,172.17.0.2,443,52842,2023-10-16 13:27:47,20.313827,4508,221.9178099724881973249058388,0,0E+6,15070.308012486994,122.76118284085973,145.41935483870967,101.0,66,1.0855065211360564,0.646941916009918,0.8441873709109698,58.89441899866444120707596255,7.674269932616681239164397091,5.437573451612903225806451613,0.469881,0.0,1.941953760513247376087485350,0.708546024489246,1.411340922730951783681927274,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
18.160.233.68,172.17.0.2,443,60996,2023-10-16 13:27:47,2.759333,2987,1082.507982907463506579307391,0,0E+6,14982.3296,122.40232677527008,119.48,66.0,66,1.3107593967111986,0.4369197989037329,1.024458710874373,0.5218780802223296,0.7224112957466332419695478335,0.30837548,0.092578,0.0,0.8961549242262345076124426420,0.42686968187739216,2.342635334516976647979754530,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
172.17.0.2,172.217.1.110,37608,443,2023-10-16 13:27:47,0.264533,29219,110455.0282951465412632828418,0,0E+6,4854733.569160997,2203.3459939739373,1391.3809523809523,469.0,66,1.2558821286855906,0.6015310151042169,1.5835677426829353,0.006708110186725623582766439910,0.08190305358608812933546655802,0.1122588095238095238095238095,0.072258,0.0,1.465176489974140808564514312,1.3706303319425635,0.7295913250239564255408092774,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
146.75.76.157,172.17.0.2,443,43182,2023-10-16 13:27:47,23.890406,2408,100.7935989032584879470026587,0,0E+6,20623.0,143.60710288840173,150.5,89.0,66,1.2847553936338127,0.5884110068404182,0.954200019192038,106.3948392974023125,10.31478740921994535801060755,6.01391675,0.075484,0.0,1.727160972224756683942828209,0.5830383614716497,1.715153008930485337697866794,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
104.17.119.17,172.17.0.2,443,60226,2023-10-16 13:27:47,0.219184,4092,18669.24593035988028323235273,0,0E+6,8962.5,94.67048114380744,93.0,66.0,66,0.855599327492151,0.285199775830717,1.017962162836639,0.002911842039171487603305785125,0.05396148662862697302418537836,0.1555336818181818181818181818,0.156203,0.0,-0.03721088262956251693226776577,2.882309060322849,0.3469440573759946783032609201,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
172.17.0.2,18.160.233.68,60996,443,2023-10-16 13:27:47,2.738751,73325,26773.15316361363263765125052,0,0E+6,11338428.824196598,3367.2583542396324,3188.0434782608695,1768.0,66,1.2651629268121891,0.9271766968311123,1.0562146900444807,0.2970272765828393194706994329,0.5450020886041073874800950279,0.1994421739130434782608695652,0.071994,0.0,0.7015468926337778989918996533,0.3659475405385454,2.732632110406736596211212064,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
172.17.0.2,18.160.200.5,52842,443,2023-10-16 13:27:47,20.311626,13015,640.7660322221372134362852093,0,0E+6,791765.9571938169,889.8123157125984,448.7931034482759,97.0,66,1.186069569625631,0.4301953307329977,1.9826782294018712,56.79382624491796670630202141,7.536167875314214807827863738,5.011580413793103448275862069,0.440725,0.0,1.819567513390560622069176946,0.6650038184803772,1.503750763845437850639669152,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
172.17.0.2,172.217.4.194,39272,443,2023-10-16 13:27:47,13.923660,24947,1791.698447103706927632533400,0,0E+6,5106781.283446712,2259.8188607600196,1187.952380952381,105.0,66,1.4376626371568964,0.49647889945260804,1.9022806780759374,42.39729910457744217687074830,6.511320841778374706360509468,4.685653714285714285714285714,0.108761,0.0,2.108739298293741308982841975,0.7196164692455804,1.389629118755944373931040032,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
172.17.0.2,146.75.76.157,43182,443,2023-10-16 13:27:47,23.899220,21666,906.5567830247179615066935239,0,0E+6,7279905.307958478,2698.129964986579,1274.4705882352941,132.0,66,1.270291575714712,0.44789191177501536,2.1170594205101008,102.0745951257309273356401385,10.10319727243464881042120955,5.663237117647058823529411765,0.074483,0.0,1.659500641315387797858617092,0.5605391011317294,1.783996866553998095073691146,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
108.156.107.121,172.17.0.2,443,39418,2023-10-16 13:27:47,0.087850,1713,19499.14627205463858850313034,0,0E+6,45913.333333333336,214.27396793202234,190.33333333333334,66.0,66,1.7407620888335484,0.5802540296111829,1.1257826686446006,0.0005821011238024691358024691358,0.02412677193083378769067209262,0.04353655555555555555555555556,0.048113,0.0,-0.5690497416186611527102688886,1.8044915283472402,0.5541727319251614587385028509,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
172.67.72.66,172.17.0.2,443,48204,2023-10-16 13:27:47,0.319446,2007,6282.752014424973234912943033,0,0E+6,26667.020833333332,163.3004005914662,167.25,85.5,66,1.5018334254644587,0.6200229738156022,0.9763850558533106,0.009411216596916666666666666667,0.09701142508445418495571092431,0.0932755,0.060609,0.0,1.010185139685203442517364865,0.9614898443023403,1.040052587061491870380870907,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
172.17.0.2,104.17.119.17,60226,443,2023-10-16 13:27:47,0.189855,378396,1993078.928656079639725053330,0,0E+6,104614165.28999999,10228.106632705782,9459.9,5744.0,1514,1.0899084650089286,0.7768691005422146,1.0812066335485346,0.001964521362424375,0.04432292141121087022790781553,0.135561025,0.1462305,0.0,-0.7221641530132513196055140131,3.05848578306284,0.3269591787994437946150659124,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
