SourceIP,DestinationIP,SourcePort,DestinationPort,TimeStamp,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeTimeVariance,ResponseTimeTimeStandardDeviation,ResponseTimeTimeMean,ResponseTimeTimeMedian,ResponseTimeTimeMode,ResponseTimeTimeSkewFromMedian,ResponseTimeTimeSkewFromMode,ResponseTimeTimeCoefficientofVariation,Label
172.17.0.2,104.18.32.7,56792,443,2023-10-28 12:53:01,30.017171,140176,4669.860460867548,0,0.0,47082021.43944637,6861.6340210948565,4122.823529411765,2051.0,1457,0.9058295107443723,0.3885114713516009,1.6643045650983417,25.489574904198435,5.048720125358351,1.015372911764706,0.1388965,0.0,0.520811051119116,0.201114913592608,4.972281677855415,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
104.18.32.7,172.17.0.2,443,56792,2023-10-28 12:53:01,30.016942,1002,33.38114855270733,0,0.0,135.3877551020408,11.635624396741278,71.57142857142857,66.0,66,1.436475185548855,0.4788250618496182,0.1625735943656466,109.23904400087368,10.451748370529865,4.406097428571429,0.1398785,0.0,1.2245469687924988,0.4215655861936959,2.372110136002733,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,192.225.158.68,41928,443,2023-10-28 12:53:01,2.601534,65543,25193.981704640417,0,0.0,154001671.74305558,12409.741002255269,5461.916666666667,397.5,66,1.2243003296554598,0.4348129961524618,2.2720487622944208,0.752028968287743,0.867196037979731,0.7148594166666666,0.4329915,0.0,0.975101030177636,0.824334274326303,1.2131001113804976,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
192.225.158.68,172.17.0.2,443,41928,2023-10-28 12:53:01,2.68017,8895,3318.819328624677,0,0.0,777945.3333333334,882.0120936434678,593.0,66.0,66,1.792492428838602,0.597497476279534,1.4873728391964045,0.8807464290407288,0.9384809156507812,0.8059292666666666,0.514739,0.0,0.9308349114315552,0.8587593559191368,1.164470573866054,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,192.225.158.68,41888,443,2023-10-28 12:53:01,2.586679,1638,633.2444033449841,0,0.0,31758.6875,178.20967285756404,204.75,81.5,66,2.074803202716873,0.7785772667395973,0.8703769126132554,1.0025622040922344,1.0012802824844973,0.890764625,0.487056,0.0,1.2095772744019373,0.8896256528588855,1.124068305344408,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,192.225.158.68,41940,443,2023-10-28 12:53:01,2.607483,15315,5873.480287311557,0,0.0,3385124.743801653,1839.8708497613773,1392.2727272727273,313.0,66,1.7598073159526997,0.7208509920382393,1.3214873880101308,0.9005723306478842,0.9489848948470592,0.6518974545454544,0.365816,0.0,0.9043814799335456,0.6869418660773478,1.4557272592953343,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
192.225.158.68,172.17.0.2,443,41940,2023-10-28 12:53:01,2.652907,10932,4120.762620023996,0,0.0,1329110.9940828404,1152.8707620903742,840.9230769230769,66.0,66,2.016504631060277,0.6721682103534258,1.3709586450031892,0.7708342829247692,0.8779716868582774,0.630008,0.362369,0.0,0.9145135452751874,0.7175721147163783,1.393588155798462,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,192.225.158.68,41902,443,2023-10-28 12:53:01,0.520062,29567,56852.83677715349,0,0.0,5942179.591695502,2437.658629032273,1739.235294117647,313.0,66,1.75525228651542,0.6864108346384437,1.4015692053150015,0.0368557968899861,0.1919786365458046,0.2720668823529411,0.284103,0.0,-0.1880852661049152,1.4171726982133663,0.7056303026869645,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,192.225.158.68,41938,443,2023-10-28 12:53:01,0.676958,1727,2551.1183854832943,0,0.0,31679.432098765425,177.98716835425364,191.88888888888889,66.0,66,2.1218758080076,0.7072919360025333,0.9275532803638,0.0602810956636543,0.2455220879343736,0.4166861111111111,0.590911,0.0,-2.1288295120982106,1.697143074241403,0.5892255138518504,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
192.225.158.68,172.17.0.2,443,41938,2023-10-28 12:53:01,0.602908,3821,6337.617016194841,0,0.0,498617.234375,706.1283412914397,477.625,66.0,66,1.7487968231689075,0.5829322743896359,1.4784157891472174,0.0425345659069843,0.2062390988803635,0.418248625,0.511361,0.0,-1.3544334052877123,2.027979307854813,0.4931016781713593,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
